ind,total,nmiss,fmiss,pop
BM_026,346290,242849,0.701288,Can40
BM_027,346290,278682,0.804765,Can40
BM_028,346290,259171,0.748422,Can40
BM_032,346290,273975,0.791172,Can40
BM_105,346290,256912,0.741898,Can40
BM_106,346290,206108,0.595189,Can40
BM_107,346290,216150,0.624188,Can40
BM_109,346290,206992,0.597742,Can40
BM_111,346290,293706,0.84815,Can40
BM_112,346290,246662,0.712299,Can40
BM_115,346290,199205,0.575255,Can40
BM_116,346290,308372,0.890502,Can40
BM_117,346290,223300,0.644835,Can40
BM_118,346290,281491,0.812876,Can40
BM_119,346290,172351,0.497707,Can40
BM_123,346290,252796,0.730012,Can40
BM_124,346290,248503,0.717615,Can40
BM_125,346290,234527,0.677256,Can40
BM_126,346290,166838,0.481787,Can40
BM_127,346290,179249,0.517627,Can40
BM_128,346290,247233,0.713948,Can40
BM_209,346290,206302,0.595749,Lof07
BM_211,346290,263374,0.760559,Lof07
BM_214,346290,204534,0.590644,Lof07
BM_216,346290,217805,0.628967,Lof07
BM_217,346290,255860,0.73886,Lof07
BM_218,346290,144339,0.416815,Lof07
BM_219,346290,166462,0.480701,Lof07
BM_220,346290,115598,0.333818,Lof07
BM_221,346290,159340,0.460135,Lof07
BM_222,346290,191153,0.552003,Lof07
BM_223,346290,158875,0.458792,Lof07
BM_224,346290,159149,0.459583,Lof07
BM_225,346290,140140,0.40469,Lof07
BM_226,346290,185077,0.534457,Lof07
BM_227,346290,147124,0.424858,Lof07
BM_230,346290,201107,0.580747,Lof07
BM_231,346290,176145,0.508663,Lof07
BM_232,346290,168247,0.485856,Lof07
BM_236,346290,146217,0.422239,Lof07
BM_241,346290,185395,0.535375,Lof07
BM_242,346290,146096,0.421889,Lof07
BM_244,346290,126021,0.363918,Lof07
LOF1103001,346290,122989,0.355162,Lof11
LOF1103002,346290,218886,0.632089,Lof11
LOF1103003,346290,206465,0.59622,Lof11
LOF1103004,346290,212439,0.613471,Lof11
LOF1103005,346290,201261,0.581192,Lof11
LOF1103006,346290,170392,0.49205,Lof11
LOF1103007,346290,170309,0.49181,Lof11
LOF1103008,346290,298187,0.86109,Lof11
LOF1103009,346290,169418,0.489237,Lof11
LOF1103010,346290,197963,0.571668,Lof11
LOF1103011,346290,162493,0.46924,Lof11
LOF1103012,346290,108588,0.313575,Lof11
LOF1103013,346290,183514,0.529943,Lof11
LOF1103014,346290,165539,0.478036,Lof11
LOF1103015,346290,186992,0.539987,Lof11
LOF1103016,346290,161623,0.466727,Lof11
LOF1103017,346290,169861,0.490517,Lof11
LOF1103018,346290,172645,0.498556,Lof11
LOF1103019,346290,219399,0.63357,Lof11
LOF1103020,346290,176442,0.509521,Lof11
LOF1103021,346290,191727,0.55366,Lof11
LOF1103022,346290,89996,0.259886,Lof11
LOF1103023,346290,217138,0.627041,Lof11
LOF1103024,346290,163287,0.471533,Lof11
LOF1403002,346290,104405,0.301496,Lof14
LOF1403003,346290,71668,0.206959,Lof14
LOF1403004,346290,121716,0.351486,Lof14
LOF1403005,346290,105908,0.305836,Lof14
LOF1403006,346290,115605,0.333839,Lof14
LOF1403007,346290,9018,0.0260418,Lof14
LOF1403008,346290,108734,0.313997,Lof14
LOF1403009,346290,95964,0.27712,Lof14
LOF1403010,346290,78495,0.226674,Lof14
LOF1403011,346290,131149,0.378726,Lof14
LOF1403012,346290,112804,0.32575,Lof14
LOF1403013,346290,154433,0.445964,Lof14
LOF1403014,346290,148611,0.429152,Lof14
LOF1403015,346290,138950,0.401253,Lof14
LOF1403016,346290,100114,0.289105,Lof14
LOF1403017,346290,98459,0.284325,Lof14
LOF1403018,346290,88866,0.256623,Lof14
LOF1403020,346290,159039,0.459265,Lof14
LOF1403021,346290,169278,0.488833,Lof14
LOF1403022,346290,180377,0.520884,Lof14
LOF1403023,346290,101442,0.292939,Lof14
LOF1403024,346290,41399,0.11955,Lof14
TWI1307001,346290,94984,0.27429,Can13
TWI1307002,346290,99596,0.287609,Can13
TWI1307003,346290,96836,0.279638,Can13
TWI1307004,346290,89910,0.259638,Can13
TWI1307005,346290,141987,0.410023,Can13
TWI1307006,346290,67182,0.194005,Can13
TWI1307007,346290,63563,0.183554,Can13
TWI1307008,346290,90147,0.260322,Can13
TWI1307009,346290,140756,0.406469,Can13
TWI1307010,346290,84737,0.2447,Can13
TWI1307011,346290,139803,0.403717,Can13
TWI1307012,346290,76937,0.222175,Can13
TWI1307013,346290,189906,0.548402,Can13
TWI1307014,346290,89492,0.258431,Can13
TWI1307015,346290,65278,0.188507,Can13
TWI1307016,346290,70407,0.203318,Can13
TWI1307017,346290,51240,0.147968,Can13
TWI1307018,346290,70414,0.203338,Can13
TWI1307019,346290,117735,0.33999,Can13
TWI1307020,346290,94525,0.272965,Can13
TWI1307021,346290,228774,0.660643,Can13
TWI1307022,346290,130386,0.376523,Can13
TWI1307023,346290,168986,0.48799,Can13
TWI1307024,346290,87326,0.252176,Can13
